frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
1,1.170425,1170.425,488.7641,148.0054,0.296011,30.0
2,1.172303,1172.303,496.8176,150.3791,0.300758,30.0
3,0.958903,958.903,509.4729,149.4495,0.298899,30.0
4,0.91646,916.46,517.3402,151.6573,0.303315,30.0
5,0.945947,945.947,505.1112,156.4231,0.312846,30.0
6,0.902908,902.908,496.1065,154.7041,0.309408,30.0
7,0.929391,929.391,506.3189,154.9956,0.309991,30.0
8,0.99636,996.36,511.0892,157.0278,0.314056,30.0
9,0.914215,914.215,509.089,154.6817,0.309363,30.0
10,0.928763,928.763,510.8938,148.684,0.297368,30.0
11,0.960774,960.774,511.6583,145.1691,0.290338,30.0
12,0.952033,952.033,507.4152,147.0948,0.29419,30.0
13,0.902973,902.973,507.1839,140.9739,0.281948,30.0
14,0.911541,911.541,496.98,144.601,0.289202,30.0
15,0.896068,896.068,496.6066,148.3134,0.296627,30.0
16,0.908461,908.461,502.1758,148.7496,0.297499,30.0
17,0.915164,915.164,500.1163,149.3412,0.298682,30.0
18,0.893113,893.113,501.4072,146.8862,0.293772,30.0
19,0.914308,914.308,496.4949,151.3622,0.302724,30.0
20,0.920303,920.303,508.0228,152.0052,0.30401,30.0
21,0.915612,915.612,506.0619,149.7512,0.299502,30.0
22,0.914103,914.103,495.3312,147.9313,0.295863,30.0
23,0.896621,896.621,502.0895,144.8956,0.289791,30.0
24,0.899245,899.245,500.2909,146.4535,0.292907,30.0
25,0.913034,913.034,488.9162,151.7175,0.303435,30.0
26,0.915618,915.618,494.1883,151.8266,0.303653,30.0
27,0.913727,913.727,493.59,152.1228,0.304246,30.0
28,0.883262,883.262,492.9917,152.419,0.304838,30.0
29,0.88487,884.87,492.3934,152.7153,0.305431,30.0
30,0.881384,881.384,491.7951,153.0115,0.306023,30.0
31,0.902602,902.602,491.1968,153.3078,0.306616,30.0
32,0.885844,885.844,490.5985,153.604,0.307208,30.0
33,0.89849,898.49,490.0002,153.9002,0.3078,30.0
34,0.865461,865.461,489.402,154.1965,0.308393,30.0
35,0.884508,884.508,488.8037,154.4927,0.308985,30.0
36,0.882054,882.054,404.2602,81.8705,0.163741,30.0
37,0.90957,909.57,411.8793,77.1143,0.154229,30.0
38,0.899596,899.596,406.7686,76.5526,0.153105,30.0
39,0.916378,916.378,406.7197,73.7656,0.147531,30.0
40,0.897732,897.732,412.5479,78.2988,0.156598,30.0
41,0.91345,913.45,410.7296,72.0454,0.144091,30.0
42,0.899244,899.244,418.4684,63.4177,0.126835,30.0
43,0.895288,895.288,407.3978,61.3923,0.122785,30.0
44,0.898196,898.196,404.4477,57.5315,0.115063,30.0
45,0.882656,882.656,401.4975,53.6707,0.107341,30.0
